WL	Irradiance uW/cm^2/nm
250	1.890000E-02
260	3.359000E-02
270	5.608000E-02
280	8.843000E-02
290	1.333000E-01
300	1.932000E-01
310	2.713000E-01
320	3.715000E-01
330	4.956000E-01
340	6.490000E-01
350	8.323000E-01
360	1.045000E+00
370	1.294000E+00
380	1.577000E+00
390	1.895000E+00
400	2.245000E+00
410	2.634131E+00
420	3.059895E+00
430	3.519793E+00
440	4.011327E+00
450	4.532000E+00
460	5.080381E+00
470	5.652636E+00
480	6.246001E+00
490	6.857711E+00
500	7.485000E+00
510	8.125359E+00
520	8.775720E+00
530	9.433261E+00
540	1.009516E+01
550	1.075859E+01
560	1.141984E+01
570	1.207643E+01
580	1.272690E+01
590	1.336889E+01
600	1.400000E+01
610	1.461416E+01
620	1.521333E+01
630	1.579601E+01
640	1.636075E+01
650	1.690608E+01
660	1.742809E+01
670	1.792655E+01
680	1.840325E+01
690	1.885785E+01
700	1.929000E+01
710	1.969327E+01
720	2.007279E+01
730	2.042895E+01
740	2.076212E+01
750	2.107270E+01
760	2.136106E+01
770	2.162758E+01
780	2.187266E+01
790	2.209667E+01
800	2.230000E+01
810	2.248085E+01
820	2.264192E+01
830	2.278372E+01
840	2.290677E+01
850	2.301157E+01
860	2.309865E+01
870	2.316852E+01
880	2.322169E+01
890	2.325868E+01
900	2.328000E+01
910	2.328255E+01
920	2.327037E+01
930	2.324411E+01
940	2.320444E+01
950	2.315200E+01
960	2.308746E+01
970	2.301146E+01
980	2.292467E+01
990	2.282774E+01
1000	2.272133E+01
1010	2.260610E+01
1020	2.248269E+01
1030	2.235177E+01
1040	2.221398E+01
1050	2.207000E+01
1060	2.192047E+01
1070	2.176605E+01
1080	2.160739E+01
1090	2.144516E+01
1100	2.128000E+01
